word,J,E,P,R,Genesis,Exodus,Leviticus,Numbers,Deuteronomy
האדמה,28,6,7,0,31,5,1,5,22
נעשה,0,3,3,0,1,3,1,1,0
אדם,2,3,19,6,9,5,7,9,3
בצלמנו,0,0,1,0,1,0,0,0,0
כדמותנו,0,0,1,0,1,0,0,0,0
וירדו,5,1,1,0,3,1,0,3,0
בדגת,0,0,2,0,2,0,0,0,0
הים,3,5,16,3,6,19,0,6,4
ובעוף,0,0,3,0,2,0,1,0,0
ובבהמה,0,1,10,0,3,4,0,4,0
ובכל,1,5,17,0,8,11,3,1,15
הרמש,0,0,9,0,8,0,1,0,0
האדם,34,4,17,0,37,4,4,10,4
בצלמו,0,0,1,0,1,0,0,0,0
בצלם,0,0,2,0,2,0,0,0,0
אתו,42,49,181,4,96,62,66,53,25
זכר,5,3,40,1,15,4,13,17,6
ונקבה,1,0,4,1,6,0,0,0,0
להם,31,27,60,7,39,35,11,42,37
וכבשה,0,0,3,0,1,0,1,1,0
ורדו,0,0,2,0,1,0,1,0,0
הנה,41,43,13,0,61,21,2,13,3
נתתי,4,4,19,0,14,2,1,10,17
לכם,23,18,134,15,30,38,62,60,43
העץ,8,2,3,0,10,2,1,0,3
יהיה,13,22,112,14,25,38,54,44,45
לאכלה,0,0,7,0,4,1,2,0,0
ולכל,1,2,11,0,4,3,2,5,9
רומש,0,0,2,0,2,0,0,0,0
ירק,0,4,2,0,1,1,1,3,0
והנה,33,38,37,1,59,15,26,13,6
מאד,27,21,10,0,35,13,0,11,11
הששי,1,0,4,1,1,3,0,2,0
ויכלו,0,1,1,0,2,0,0,0,0
וכל,32,30,109,0,43,39,45,45,26
צבאם,0,0,1,0,1,0,0,0,0
ויכל,0,1,4,0,3,2,0,0,1
השביעי,0,3,36,7,4,13,16,13,2
מלאכתו,1,0,3,0,4,0,0,0,0
וישבת,2,0,1,0,3,0,0,0,4
מכל,13,11,39,0,30,6,21,7,16
ויקדש,0,0,7,0,1,1,2,3,0
שבת,0,0,16,1,1,7,8,1,2
לעשות,9,6,14,1,10,10,2,8,36
אלה,10,10,91,6,46,14,16,44,13
תולדות,0,0,0,0,1,0,0,0,0
בהבראם,0,0,0,0,1,0,0,0,0
עשות,0,0,2,0,1,0,2,0,0
יהוה,185,239,535,50,144,340,209,324,509
ושמים,0,0,0,0,1,0,0,0,0
שיח,1,0,0,0,1,0,0,0,0
השדה,13,13,20,0,24,9,11,2,4
טרם,5,3,0,0,5,2,0,1,0
יצמח,1,0,0,0,1,0,0,0,0
לא,131,166,345,10,145,166,222,120,291
המטיר,2,0,0,0,2,0,0,0,0
ואדם,1,0,0,0,1,0,0,0,0
אין,11,28,24,0,18,17,11,18,12
לעבד,2,1,13,0,2,1,0,13,1
ואד,1,0,0,0,1,0,0,0,0
יעלה,1,1,3,0,1,2,2,0,3
מן,32,42,111,5,44,47,65,36,26
והשקה,1,0,2,0,1,0,0,2,0
וייצר,1,0,0,0,1,0,0,0,0
עפר,6,1,4,0,6,3,1,1,1
ויפח,1,0,0,0,1,0,0,0,0
באפיו,2,0,0,0,2,0,0,0,0
נשמת,2,0,0,0,2,0,0,0,0
חיים,5,2,7,0,6,2,3,3,6
לנפש,1,0,7,0,1,0,2,5,0
ויטע,2,1,0,0,3,0,0,0,0
גן,1,0,0,0,1,0,0,0,0
ב,1,0,2,0,1,0,1,1,2
מקדם,6,0,1,0,6,0,0,1,0
וישם,7,12,14,0,14,13,4,3,0
שם,61,52,35,10,100,28,9,26,45
יצר,3,0,0,0,3,0,0,0,0
ויצמח,1,0,0,0,1,0,0,0,0
נחמד,1,0,0,0,1,0,0,0,0
למראה,1,0,0,0,1,0,0,0,0
וטוב,2,0,0,0,2,0,0,0,2
למאכל,2,0,0,0,2,0,0,0,1
החיים,3,0,4,0,3,0,3,1,2
הגן,7,0,0,0,7,0,0,0,0
הדעת,2,0,0,0,2,0,0,0,0
ורע,4,0,0,0,4,0,0,0,1
ונהר,1,0,0,0,1,0,0,0,0
יצא,11,8,24,0,11,7,3,22,1
מעדן,1,0,0,0,1,0,0,0,0
להשקות,2,0,0,0,1,1,0,0,0
ומשם,2,0,0,1,2,0,0,1,1
יפרד,1,0,0,0,1,0,0,0,0
והיה,22,30,57,2,27,45,23,18,43
לארבעה,1,0,0,1,1,0,0,1,0
ראשים,1,1,0,0,1,1,0,0,1
האחד,7,3,36,17,7,29,6,21,1
פישון,1,0,0,0,1,0,0,0,0
הוא,95,68,203,9,125,60,133,58,75
הסבב,1,0,0,0,1,0,0,0,0
החוילה,1,0,0,0,1,0,0,0,0
הזהב,1,3,13,0,2,10,1,4,0
וזהב,2,2,0,0,2,0,0,2,4
ההוא,22,19,29,3,26,12,15,21,46
הבדלח,1,1,0,0,1,0,0,1,0
ואבן,1,0,1,0,1,0,1,0,5
השהם,1,0,2,0,1,2,0,0,0
ושם,13,6,10,1,15,5,2,9,3
הנהר,4,3,0,0,5,1,0,1,2
השני,3,3,22,4,6,15,2,9,0
גיחון,1,0,0,0,1,0,0,0,0
הסובב,1,0,0,0,1,0,0,0,0
כוש,1,0,2,0,3,0,0,0,0
השלישי,3,5,14,1,7,6,4,6,0
חדקל,1,0,0,0,1,0,0,0,0
ההלך,3,0,2,0,3,1,2,0,5
קדמת,2,0,0,0,2,0,0,0,0
אשור,2,2,0,0,2,0,0,2,0
והנהר,1,0,0,0,1,0,0,0,0
הרביעי,1,0,3,1,1,2,0,2,0
פרת,4,1,0,0,5,0,0,0,2
ויקח,26,29,29,1,47,16,8,16,0
וינחהו,2,0,0,0,2,0,0,0,0
בגן,3,0,0,0,3,0,0,0,0
עדן,4,0,0,0,4,0,0,0,0
לעבדה,1,0,3,0,1,0,0,3,0
ולשמרה,1,0,0,0,1,0,0,0,0
ויצו,7,5,6,0,11,3,0,3,5
אכל,8,10,3,0,17,4,1,0,4
תאכל,5,4,12,0,5,4,12,0,13
ומעץ,1,0,0,0,1,0,0,0,0
ממנו,12,7,44,0,10,24,19,10,13
אכלך,1,1,1,0,1,1,1,0,0
מות,4,7,28,0,6,8,13,12,3
תמות,1,3,0,0,2,2,0,0,0
היות,1,1,0,0,1,1,0,0,0
לבדו,5,4,1,0,7,3,0,0,2
אעשה,7,8,5,0,8,7,1,5,0
לו,82,70,126,3,132,65,50,38,63
עזר,2,0,0,0,2,0,0,0,0
כנגדו,2,0,0,0,2,0,0,0,0
ויצר,2,1,1,0,3,1,0,0,0
ויבא,30,25,13,0,46,16,1,10,1
לראות,8,3,4,0,8,3,2,2,2
מה,28,37,9,0,38,21,1,14,5
יקרא,5,1,3,0,8,0,1,0,3
שמו,23,15,7,1,34,11,0,1,14
שמות,3,0,25,1,6,6,0,17,0
לכל,8,7,51,2,14,17,14,23,14
ולעוף,1,0,0,0,1,0,0,0,0
ולאדם,2,0,0,0,2,0,0,0,0
מצא,4,3,4,0,8,0,2,1,1
ויפל,5,2,5,0,8,1,0,3,0
תרדמה,1,0,0,0,1,0,0,0,0
ויישן,1,1,0,0,2,0,0,0,0
אחת,4,1,61,4,4,23,12,31,4
מצלעתיו,1,0,0,0,1,0,0,0,0
ויסגר,1,0,1,0,2,0,0,0,0
בשר,2,11,38,0,24,6,11,10,7
תחתנה,1,0,0,0,1,0,0,0,0
ויבן,7,8,0,0,10,4,0,1,0
הצלע,1,0,0,0,1,0,0,0,0
לקח,6,3,6,1,9,3,1,3,5
לאשה,9,4,8,0,16,4,0,2,8
ויבאה,2,0,0,0,2,0,0,0,0
זאת,20,8,37,2,25,6,17,18,5
הפעם,5,3,0,0,6,2,0,0,0
עצם,1,0,1,0,1,0,1,0,0
מעצמי,1,0,0,0,1,0,0,0,0
ובשר,1,1,3,0,1,1,3,0,0
מבשרי,1,0,0,0,1,0,0,0,0
לזאת,1,1,0,0,1,1,0,0,0
אשה,11,8,64,13,18,18,42,19,10
מאיש,1,0,0,0,1,0,0,0,0
לקחה,1,1,0,0,2,0,0,0,2
יעזב,1,0,0,0,1,0,0,0,0
איש,48,57,144,3,61,72,51,68,35
אביו,38,12,14,0,58,2,6,1,8
אמו,10,6,6,0,13,3,5,1,3
ודבק,1,0,0,0,1,0,0,0,0
באשתו,1,0,0,0,1,0,0,0,0
לבשר,1,0,0,0,1,0,0,0,0
ויהיו,4,2,26,11,20,4,0,20,1
שניהם,3,10,17,0,9,2,4,15,3
ערומים,1,0,0,0,1,0,0,0,0
ואשתו,6,1,1,0,7,1,0,0,0
ולא,34,76,123,9,53,74,58,59,114
יתבששו,1,0,0,0,1,0,0,0,0
והנחש,1,0,0,0,1,0,0,0,0
היה,16,17,13,3,28,14,2,6,2
ערום,1,0,0,0,1,0,0,0,0
האשה,17,4,15,1,16,4,2,15,4
אף,5,10,6,1,4,4,4,10,10
אמר,24,31,9,2,27,30,2,11,14
תאכלו,2,1,31,0,3,8,23,0,12
ותאמר,38,18,1,0,50,6,0,2,0
הנחש,4,2,0,0,4,0,0,2,0
מפרי,3,0,1,0,2,0,1,1,1
נאכל,1,1,0,0,1,0,0,1,0
ומפרי,1,0,0,0,1,0,0,0,0
תגעו,1,0,2,0,1,0,1,1,1
פן,17,15,2,0,17,13,1,3,25
תמתון,2,0,0,0,2,0,0,0,0
ידע,9,5,5,0,11,2,5,0,3
אכלכם,1,0,0,0,1,0,0,0,0
ונפקחו,1,0,0,0,1,0,0,0,0
עיניכם,2,0,1,0,2,0,0,1,4
והייתם,1,1,6,0,1,1,4,2,0
כאלהים,1,0,0,0,1,0,0,0,0
ידעי,1,0,0,0,1,0,0,0,0
ותרא,6,6,0,0,8,2,0,3,0
וכי,3,14,22,3,4,14,17,7,8
תאוה,1,1,0,0,1,0,0,1,2
לעינים,2,0,0,0,1,0,0,1,0
ונחמד,1,0,0,0,1,0,0,0,0
להשכיל,1,0,0,0,1,0,0,0,0
ותקח,8,3,1,0,8,4,0,0,0
מפריו,1,0,0,0,1,0,0,0,0
ותאכל,2,1,3,0,2,0,2,2,1
ותתן,3,1,1,0,5,0,0,1,0
גם,49,47,9,1,67,23,2,14,16
לאישה,1,0,0,0,1,0,0,0,0
עמה,2,3,3,1,3,2,2,2,5
ויאכל,6,4,0,0,5,3,0,2,1
ותפקחנה,1,0,0,0,1,0,0,0,0
עיני,2,2,1,0,3,0,1,1,2
וידעו,1,0,5,0,1,4,0,1,0
עירמם,1,0,0,0,1,0,0,0,0
הם,9,14,37,1,14,13,17,17,5
ויתפרו,1,0,0,0,1,0,0,0,0
עלה,8,9,21,10,11,7,17,14,4
