word,J,E,P,R,Genesis,Exodus,Leviticus,Numbers,Deuteronomy
ותענה,1,0,0,0,1,0,0,0,0
ותברח,1,0,0,0,1,0,0,0,0
מפניה,1,0,0,0,1,0,0,0,0
וימצאה,1,0,0,0,1,0,0,0,0
מלאך,5,14,0,1,8,4,0,11,0
במדבר,5,13,25,6,6,12,2,31,9
העין,4,2,0,0,4,0,0,2,0
בדרך,7,10,1,2,10,4,0,7,17
שור,4,12,6,0,6,13,4,1,5
שפחת,1,3,2,1,7,0,0,0,0
מזה,2,12,9,0,5,16,0,2,1
באת,1,0,0,0,1,0,0,0,0
ואנה,1,1,0,0,2,0,0,0,0
תלכי,1,0,0,0,1,0,0,0,0
גברתי,1,0,0,0,1,0,0,0,0
ברחת,1,0,0,0,1,0,0,0,0
שובי,1,0,0,0,1,0,0,0,0
גברתך,1,0,0,0,1,0,0,0,0
והתעני,1,0,0,0,1,0,0,0,0
ידיה,3,0,0,0,3,0,0,0,0
יספר,2,0,0,0,2,0,0,0,0
מרב,2,0,0,0,2,0,0,0,1
הנך,1,1,0,0,2,0,0,0,1
וילדת,1,0,0,0,1,0,0,0,0
וקראת,1,0,1,0,2,0,0,0,2
ישמעאל,1,0,11,1,13,0,0,0,0
שמע,10,12,6,0,14,11,0,3,13
עניך,1,0,0,0,1,0,0,0,0
פרא,1,0,0,0,1,0,0,0,0
ויד,1,1,1,0,2,1,0,0,3
ישכן,2,1,0,2,2,0,0,3,1
הדבר,9,24,10,1,14,21,3,6,21
אליה,11,4,0,0,16,0,0,0,4
ראי,4,0,1,0,5,0,0,0,0
אמרה,4,2,0,0,5,1,0,0,0
הגם,1,0,0,0,1,0,0,0,0
הלם,2,0,0,0,1,1,0,0,0
לבאר,1,0,0,0,1,0,0,0,0
באר,12,5,1,2,16,0,0,4,2
לחי,2,0,1,0,3,0,0,0,0
ברד,1,5,0,0,1,5,0,0,0
שמנים,0,0,2,0,1,1,0,0,0
בלדת,1,0,1,0,2,0,0,0,0
שדי,1,3,7,0,6,1,0,4,1
ואתנה,4,2,2,1,6,1,0,2,0
ובינך,2,4,3,0,9,0,0,0,0
וארבה,0,0,1,0,1,0,0,0,0
אותך,1,5,4,0,5,4,0,1,1
במאד,0,0,4,0,3,1,0,0,0
והיית,3,0,2,0,4,0,0,1,9
לאב,1,0,1,0,2,0,0,0,0
המון,0,0,2,0,2,0,0,0,0
אברהם,31,38,34,10,109,6,1,0,0
אב,2,0,8,0,3,0,0,7,0
נתתיך,0,1,2,0,2,1,0,0,0
והפרתי,0,0,1,0,1,0,0,0,0
ונתתיך,0,0,2,0,2,0,0,0,0
לגוים,0,0,2,0,2,0,0,0,0
ומלכים,0,0,2,0,2,0,0,0,0
ממך,1,5,3,0,6,3,0,0,13
אחריך,2,0,7,0,9,0,0,0,6
לדרתם,0,0,11,0,2,5,3,1,0
לברית,0,0,3,0,3,0,0,0,0
לאלהים,1,5,9,1,5,5,5,1,4
ונתתי,2,1,14,0,3,4,10,1,3
מגריך,0,0,2,0,2,0,0,0,0
לאחזת,0,0,5,0,5,0,0,0,0
תשמר,0,2,1,0,1,2,0,0,4
וזרעך,0,0,1,0,1,0,0,0,1
תשמרו,0,1,10,1,1,2,7,2,3
המול,0,0,3,0,2,1,0,0,0
ונמלתם,0,0,1,0,1,0,0,0,0
ערלתכם,0,0,1,0,1,0,0,0,0
שמנת,0,0,5,0,2,0,0,3,1
ימול,0,0,4,0,3,0,1,0,0
לדרתיכם,0,0,22,5,1,9,9,8,0
יליד,0,0,3,0,3,0,0,0,0
ומקנת,0,0,3,0,3,0,0,0,0
כסף,9,13,68,0,17,33,8,34,5
נכר,0,0,4,0,2,1,1,0,2
מזרעך,0,0,2,0,1,0,1,0,0
כספך,0,0,2,0,1,0,1,0,0
בבשרכם,0,0,2,0,1,0,1,0,0
וערל,0,0,1,0,1,0,0,0,0
ערלתו,0,0,5,0,3,0,2,0,0
ונכרתה,1,0,14,1,2,3,7,4,0
מעמיה,0,0,8,0,1,0,6,1,0
הפר,0,0,25,1,1,6,16,3,0
תקרא,0,0,1,0,1,0,0,0,1
שרה,8,7,10,1,28,0,0,0,0
וברכתי,0,0,1,0,1,0,0,0,0
וברכתיה,0,0,1,0,1,0,0,0,0
מלכי,0,0,3,0,1,0,0,2,3
עמים,3,0,3,0,5,1,0,0,4
ויצחק,2,2,2,0,6,0,0,0,0
בלבו,1,1,3,0,2,3,0,0,0
הלבן,1,0,1,0,2,0,0,0,0
יולד,0,0,2,0,1,0,1,0,1
הבת,1,0,1,0,1,1,0,0,0
תלד,0,0,3,0,2,0,1,0,2
יחיה,0,2,2,0,2,1,0,1,2
אבל,5,1,2,1,7,0,0,1,1
ילדת,0,0,1,0,1,0,0,0,0
יצחק,34,14,21,4,67,6,1,0,0
לזרעו,0,0,1,0,1,0,0,0,0
אחריו,4,1,5,0,5,2,1,2,1
ולישמעאל,0,0,1,0,1,0,0,0,0
שמעתיך,0,0,1,0,1,0,0,0,0
ברכתי,1,1,2,0,3,0,1,0,0
והפריתי,0,0,2,0,1,0,1,0,0
והרביתי,2,0,3,0,3,1,1,0,0
נשיאם,0,0,2,0,2,0,0,0,0
יוליד,0,0,1,0,1,0,0,0,0
ונתתיו,0,0,1,0,1,0,0,0,0
אקים,0,0,1,0,1,0,0,0,1
למועד,1,2,1,0,3,2,0,0,0
בשנה,3,5,11,1,4,8,5,3,4
האחרת,0,0,1,0,1,0,0,0,0
לדבר,9,5,4,0,9,5,0,4,6
מקנת,0,0,2,0,1,1,0,0,0
כספו,1,3,2,0,3,2,1,0,0
באנשי,0,0,1,0,1,0,0,0,0
וימל,0,0,2,0,2,0,0,0,0
ערלתם,0,0,1,0,1,0,0,0,0
ואברהם,6,0,2,0,8,0,0,0,0
בהמלו,0,0,2,0,2,0,0,0,0
וישמעאל,0,0,3,0,3,0,0,0,0
נמול,0,0,1,0,1,0,0,0,0
נמלו,0,0,1,0,1,0,0,0,0
פתח,3,7,45,0,4,14,21,16,4
האהל,3,10,16,1,4,17,0,8,1
כחם,1,0,0,0,1,0,0,0,0
נצבים,1,1,0,0,1,1,0,1,1
וירץ,4,2,1,0,5,0,0,2,0
לקראתם,3,1,1,0,2,1,0,2,0
מפתח,1,1,0,0,1,1,0,0,0
וישתחו,5,5,2,0,9,2,0,1,1
מצאתי,4,5,0,0,5,3,0,1,2
תעבר,3,2,2,0,2,0,1,3,3
עבדך,12,3,1,0,14,2,0,0,3
יקח,1,2,12,0,1,2,11,1,5
מעט,7,4,2,0,8,3,2,0,4
ורחצו,2,0,4,0,2,3,1,0,0
רגליכם,2,0,0,0,2,0,0,0,0
והשענו,1,0,0,0,1,0,0,0,0
ואקחה,1,0,0,0,1,0,0,0,0
פת,1,0,0,0,1,0,0,0,0
וסעדו,1,0,0,0,1,0,0,0,0
לבכם,1,0,0,0,1,0,0,0,0
תעברו,1,0,0,0,1,0,0,0,2
עברתם,1,0,0,0,1,0,0,0,1
עבדכם,2,0,0,0,2,0,0,0,0
דברת,4,2,1,0,3,2,0,2,2
וימהר,3,2,0,0,3,2,0,0,0
האהלה,2,4,0,0,2,3,0,1,0
מהרי,1,0,0,1,1,0,0,1,0
סאים,1,0,0,0,1,0,0,0,0
קמח,1,0,1,0,1,0,0,1,0
סלת,1,0,27,13,1,2,11,27,0
לושי,1,0,0,0,1,0,0,0,0
ועשי,1,0,0,0,1,0,0,0,0
עגות,1,1,0,0,1,0,0,1,0
הבקר,6,3,16,4,5,8,6,10,0
רץ,1,0,0,0,1,0,0,0,0
רך,1,0,0,0,1,0,0,0,0
הנער,13,7,0,1,20,0,0,1,0
חמאה,1,0,0,0,1,0,0,0,0
וחלב,1,0,2,0,1,0,2,0,1
לפניהם,5,3,2,0,3,3,0,4,0
עמד,6,6,2,0,7,4,2,1,3
ויאכלו,4,3,0,0,6,1,0,0,0
איה,3,0,0,0,3,0,0,0,0
באהל,1,5,33,0,3,5,4,24,3
אשוב,2,0,0,0,2,0,0,0,0
כעת,2,2,0,0,2,1,0,1,0
לשרה,2,0,1,0,4,0,0,0,0
ושרה,2,0,1,0,3,0,0,0,0
זקנים,2,0,0,0,3,0,0,0,0
באים,2,0,1,0,2,0,0,1,1
חדל,1,3,0,0,2,2,0,0,0
ארח,2,0,0,0,2,0,0,0,0
כנשים,1,1,0,0,1,1,0,0,0
ותצחק,1,0,0,0,1,0,0,0,0
בקרבה,3,0,0,0,3,0,0,0,0
בלתי,5,3,1,0,5,1,0,3,1
עדנה,1,0,0,0,1,0,0,0,0
ואדני,1,0,1,0,1,0,0,1,1
זקן,7,0,2,0,9,0,1,0,0
צחקה,1,0,0,0,1,0,0,0,0
האף,3,0,0,0,3,0,0,0,2
אמנם,1,0,0,0,1,0,0,0,0
אלד,1,0,0,0,1,0,0,0,0
זקנתי,2,0,0,0,2,0,0,0,0
היפלא,1,0,0,0,1,0,0,0,0
מיהוה,2,0,1,0,2,0,0,1,0
ולשרה,1,1,0,0,2,0,0,0,0
ותכחש,1,0,0,0,1,0,0,0,0
צחקתי,1,0,0,0,1,0,0,0,0
יראה,1,5,2,2,4,4,2,0,6
צחקת,1,0,0,0,1,0,0,0,0
ויקמו,4,2,0,0,4,1,0,1,0
וישקפו,1,0,0,0,1,0,0,0,0
הלך,6,6,2,0,7,1,0,6,1
עמם,2,0,4,1,2,0,5,0,1
לשלחם,1,2,0,0,1,2,0,0,0
המכסה,1,0,7,0,1,2,5,0,0
מאברהם,1,0,0,0,1,0,0,0,0
ועצום,2,1,0,0,1,1,0,1,0
גויי,2,1,0,0,3,0,0,0,1
ידעתיו,1,0,0,0,1,0,0,0,0
יצוה,1,1,1,0,1,1,0,1,0
ושמרו,1,1,8,1,2,1,1,7,1
ומשפט,2,0,0,1,1,1,0,1,0
זעקת,1,0,0,0,1,0,0,0,0
וחטאתם,2,0,0,1,2,0,0,1,1
כבדה,1,0,0,0,1,0,0,0,0
ארדה,1,0,0,0,1,0,0,0,0
ואראה,2,1,0,0,1,2,0,0,1
הכצעקתה,1,0,0,0,1,0,0,0,0
הבאה,1,0,2,0,3,0,0,0,0
אדעה,1,0,0,0,1,0,0,0,0
ויפנו,2,0,2,0,1,1,0,2,1
עודנו,4,1,0,0,4,0,0,1,0
ויגש,6,2,1,0,8,0,1,0,0
תספה,4,0,0,0,4,0,0,0,0
רשע,2,2,1,0,2,2,0,1,0
יש,10,4,1,0,14,0,0,1,2
צדיקם,2,0,0,0,2,0,0,0,2
תשא,1,3,7,0,1,4,3,3,3
למקום,2,2,0,0,3,0,0,1,0
הצדיקם,2,0,0,0,2,0,0,0,0
חללה,2,0,0,0,2,0,0,0,0
מעשת,1,0,1,0,1,0,1,0,0
כדבר,3,5,2,0,4,5,1,0,3
להמית,1,1,1,0,1,2,0,0,0
כצדיק,1,0,0,0,1,0,0,0,0
כרשע,1,0,0,0,1,0,0,0,0
השפט,1,0,0,0,1,0,0,0,3
יעשה,6,7,26,5,5,12,13,14,7
אמצא,4,2,0,0,5,1,0,0,0
ונשאתי,1,0,0,0,1,0,0,0,0
בעבורם,1,0,0,0,1,0,0,0,0
ויען,4,12,2,0,12,2,0,4,0
הואלתי,2,0,0,0,2,0,0,0,0
ואפר,1,0,0,0,1,0,0,0,0
יחסרון,1,0,0,0,1,0,0,0,0
חמשה,2,1,52,0,2,7,3,44,0
התשחית,1,0,0,0,1,0,0,0,0
בחמשה,1,0,1,3,1,1,2,1,0
אשחית,3,0,0,0,3,0,0,0,0
וחמשה,1,0,6,0,1,6,0,0,0
ימצאון,4,0,0,0,4,0,0,0,0
הארבעים,1,0,0,1,1,0,0,1,0
יחר,4,2,0,0,5,1,0,0,0
לאדני,11,1,0,0,12,0,0,0,0
ואדברה,2,0,0,0,2,0,0,0,3
עשרים,1,6,45,0,6,18,4,24,0
העשרים,1,0,0,0,1,0,0,0,0
העשרה,1,0,0,0,1,0,0,0,0
שב,1,1,0,0,2,1,0,0,0
למקמו,1,2,0,0,2,0,0,1,0
המלאכים,3,0,0,0,3,0,0,0,0
בערב,2,1,12,0,3,4,7,1,2
בשער,1,1,0,0,1,1,0,0,0
אפים,2,2,0,0,2,1,0,1,0
סורו,1,0,1,0,1,0,0,1,0
ולינו,1,0,0,0,1,0,0,0,0
והשכמתם,1,0,0,0,1,0,0,0,0
והלכתם,1,0,2,0,1,0,2,0,0
לדרככם,1,0,0,0,1,0,0,0,0
ברחוב,1,0,0,0,1,0,0,0,0
נלין,1,0,0,0,1,0,0,0,0
ויפצר,1,1,0,0,2,0,0,0,0
בם,2,6,14,0,2,6,9,5,13
ויסרו,1,0,0,0,1,0,0,0,2
משתה,3,2,0,0,5,0,0,0,0
ומצות,1,0,1,0,1,1,0,0,0
אפה,2,1,0,0,3,0,0,0,0
ישכבו,1,0,0,0,1,0,0,0,0
נסבו,1,0,0,0,1,0,0,0,0
הבית,4,3,23,0,6,3,21,0,1
מנער,1,0,0,0,1,0,0,0,0
ויקראו,3,1,2,0,4,1,0,1,0
הוציאם,1,1,0,0,1,1,0,0,1
אלינו,5,3,1,0,7,1,0,1,3
ונדעה,1,0,0,0,1,0,0,0,0
אלהם,16,22,37,3,23,25,13,17,6
הפתחה,1,0,0,0,1,0,0,0,0
והדלת,1,0,0,0,1,0,0,0,0
סגר,1,0,1,0,1,1,0,0,0
תרעו,1,0,0,0,1,0,0,0,0
ידעו,1,1,3,1,2,1,1,2,4
אוציאה,1,0,0,0,1,0,0,0,0
אתהן,1,1,3,0,1,1,1,2,0
אליכם,2,8,4,2,4,7,3,2,5
ועשו,2,1,10,1,3,6,1,4,1
להן,3,2,1,0,4,1,0,1,0
כטוב,1,0,0,0,1,0,0,0,0
בעיניכם,4,0,1,0,4,0,0,1,0
לאנשים,1,0,0,0,1,0,0,0,0
האל,4,2,1,0,6,0,1,0,5
תעשו,1,2,28,16,2,5,21,19,2
בצל,1,0,0,0,1,0,0,0,0
קרתי,1,0,0,0,1,0,0,0,0
גש,1,0,0,0,1,0,0,0,0
הלאה,1,0,1,0,1,0,0,1,0
וישפט,1,1,0,0,1,1,0,0,0
שפוט,1,0,0,0,1,0,0,0,0
עתה,10,16,0,1,14,6,0,7,3
נרע,1,0,0,0,1,0,0,0,0
ויפצרו,1,0,0,0,1,0,0,0,0
באיש,2,0,2,0,2,0,2,0,5
בלוט,2,0,0,0,2,0,0,0,0
ויגשו,2,2,1,0,3,1,0,1,0
לשבר,3,5,0,0,8,0,0,0,0
הדלת,2,1,0,0,2,1,0,0,0
ידם,1,0,7,0,1,5,1,1,0
ויביאו,4,1,4,0,5,3,1,1,0
אליהם,4,5,5,0,8,0,2,4,3
הביתה,6,1,0,0,6,1,0,0,0
סגרו,1,0,0,0,1,0,0,0,0
הכו,1,0,0,0,1,0,0,0,0
בסנורים,1,0,0,0,1,0,0,0,0
מקטן,1,0,0,0,1,0,0,0,0
וילאו,1,0,0,0,1,0,0,0,0
למצא,3,1,0,0,4,0,0,0,0
הפתח,1,1,3,0,1,4,0,0,0
פה,1,7,2,0,3,2,0,5,5
חתן,4,7,0,0,1,9,0,1,0
ובנתיך,1,0,1,0,1,0,1,0,2
בעיר,2,0,2,0,2,0,1,1,5
הוצא,1,0,1,0,1,0,1,0,0
משחתים,1,0,0,0,1,0,0,0,0
צעקתם,2,0,0,0,1,1,0,0,0
וישלחנו,1,0,0,0,1,0,0,0,0
לשחתה,1,0,0,0,1,0,0,0,0
חתניו,2,0,0,0,2,0,0,0,0
לקחי,1,0,0,0,1,0,0,0,1
בנתיו,6,1,3,0,7,2,0,1,0
קומו,1,1,0,0,1,1,0,0,1
צאו,1,2,0,0,1,1,0,1,0
משחית,1,0,0,0,1,0,0,0,0
כמצחק,1,0,0,0,1,0,0,0,0
וכמו,1,0,0,0,1,0,0,0,0
השחר,1,2,0,0,3,0,0,0,0
ויאיצו,1,0,0,0,1,0,0,0,0
בנתיך,1,1,0,0,2,0,0,0,0
הנמצאת,1,0,0,0,1,0,0,0,0
בעון,1,0,0,0,1,0,0,0,0
ויתמהמה,1,0,0,0,1,0,0,0,0
ויחזקו,1,0,0,0,1,0,0,0,0
בידו,8,9,3,0,10,5,0,5,0
וביד,3,2,1,0,2,2,0,2,1
בחמלת,1,0,0,0,1,0,0,0,0
ויצאהו,1,0,0,0,1,0,0,0,0
מחוץ,2,4,33,0,2,6,19,12,3
לעיר,2,0,5,0,2,0,4,1,0
כהוציאם,1,0,0,0,1,0,0,0,0
המלט,3,0,0,0,3,0,0,0,0
נפשך,3,0,0,0,3,1,0,0,14
תביט,1,0,0,0,1,0,0,0,0
תעמד,3,0,4,0,3,0,4,0,1
ותגדל,1,0,0,0,1,0,0,0,0
חסדך,2,1,0,0,2,0,0,1,0
אוכל,3,8,0,0,4,0,0,7,3
להמלט,1,0,0,0,1,0,0,0,0
תדבקני,1,0,0,0,1,0,0,0,0
הרעה,3,3,2,0,4,2,0,2,2
ומתי,1,0,0,0,1,0,0,0,0
קרבה,1,0,0,0,1,0,0,0,1
לנוס,1,0,2,0,1,0,0,2,1
והיא,2,2,6,0,4,0,4,2,0
מצער,2,0,0,0,2,0,0,0,0
אמלטה,1,0,0,0,1,0,0,0,0
ותחי,2,0,0,0,2,0,0,0,0
נשאתי,1,0,3,0,1,1,0,2,0
הפכי,1,0,0,0,1,0,0,0,0
מהר,3,4,1,2,2,4,0,5,9
באך,1,0,0,0,1,0,0,0,0
צוער,1,0,5,0,1,0,0,5,0
צערה,1,0,0,0,1,0,0,0,0
גפרית,1,0,0,0,1,0,0,0,1
ואש,1,1,3,0,1,2,1,1,0
ויהפך,2,1,0,0,1,2,0,0,1
הערים,4,1,11,0,4,0,0,12,8
ישבי,3,1,4,0,2,3,0,3,1
וצמח,1,0,0,0,1,0,0,0,0
ותבט,1,0,0,0,1,0,0,0,0
מאחריו,1,0,1,0,1,0,0,1,0
נציב,1,0,0,0,1,0,0,0,0
מלח,1,0,3,0,1,0,2,1,0
וישכם,1,7,0,0,6,2,0,0,0
בבקר,6,17,13,2,12,15,5,6,3
וישקף,3,0,0,0,2,1,0,0,0
קיטר,1,0,0,0,1,0,0,0,0
כקיטר,1,0,0,0,1,0,0,0,0
הכבשן,1,1,1,0,1,2,0,0,0
בשחת,0,0,1,0,1,0,0,0,0
ערי,1,1,10,0,2,1,2,7,2
מתוך,2,2,16,0,1,6,0,14,11
ההפכה,0,0,1,0,1,0,0,0,0
בהפך,0,0,1,0,1,0,0,0,0
בהן,2,0,22,0,3,4,15,2,1
מצוער,1,0,0,0,1,0,0,0,0
בהר,4,7,15,6,9,11,4,8,14
ושתי,2,1,9,0,2,9,1,0,0
ירא,4,4,0,1,6,3,0,0,2
בצוער,1,0,0,0,1,0,0,0,0
במערה,1,0,1,0,2,0,0,0,0
הבכירה,5,0,0,0,5,0,0,0,0
הצעירה,4,0,0,0,4,0,0,0,0
אבינו,7,1,3,0,8,0,0,3,0
ואיש,2,3,31,0,2,3,28,3,4
עלינו,6,5,2,0,6,5,0,2,1
כדרך,1,1,0,0,1,0,0,1,0
לכה,2,8,0,0,3,1,0,6,0
נשקה,1,0,0,0,1,0,0,0,0
יין,5,0,5,1,5,1,2,3,1
ונשכבה,1,0,0,0,1,0,0,0,0
ונחיה,5,0,0,0,5,0,0,0,0
מאבינו,2,1,0,0,3,0,0,0,0
ותשקין,2,0,0,0,2,0,0,0,0
אביהן,4,0,2,0,2,2,0,2,0
בלילה,3,7,2,0,10,2,0,1,0
ותשכב,2,0,0,0,2,0,0,0,0
אביה,4,2,10,0,5,1,3,7,3
בשכבה,2,0,0,0,2,0,0,0,0
ובקומה,1,0,0,0,1,0,0,0,0
ממחרת,1,4,5,1,1,4,3,3,0
שכבתי,1,0,0,0,1,0,0,0,0
אמש,1,2,0,0,3,0,0,0,0
נשקנו,1,0,0,0,1,0,0,0,0
ובאי,1,0,0,0,1,0,0,0,0
שכבי,1,0,0,0,1,0,0,0,0
ותקם,3,0,0,0,3,0,0,0,0
ובקמה,1,0,0,0,1,0,0,0,0
ותהרין,1,0,0,0,1,0,0,0,0
מאביהן,1,0,0,0,1,0,0,0,0
מואב,8,16,7,9,3,1,0,32,10
והצעירה,1,0,0,0,1,0,0,0,0
עמי,6,16,6,1,7,17,4,1,1
עמון,3,0,0,0,1,0,0,2,5
הנגב,3,2,0,0,2,0,0,2,1
ויגר,0,3,0,0,2,0,0,1,1
בגרר,1,1,0,0,2,0,0,0,0
אבימלך,5,15,0,0,20,0,0,0,0
גרר,2,1,0,0,3,0,0,0,0
בחלום,0,4,0,0,3,0,0,1,0
מת,5,7,5,0,7,5,1,4,3
בעלת,0,1,0,0,1,0,0,0,1
בעל,3,7,3,1,4,7,1,3,4
ואבימלך,1,1,0,0,2,0,0,0,0
קרב,0,2,1,0,1,2,1,0,1
תהרג,0,2,0,0,1,1,0,0,0
בתם,0,2,0,0,2,0,0,0,0
לבבי,0,2,0,0,2,0,0,0,0
ובנקין,0,1,0,0,1,0,0,0,0
כפי,0,5,14,0,2,8,3,6,0
בחלם,0,2,0,0,2,0,0,0,0
לבבך,0,1,0,0,1,0,0,0,19
ואחשך,0,1,0,0,1,0,0,0,0
מחטו,0,1,0,0,1,0,0,0,0
לנגע,0,1,1,0,1,0,1,0,1
השב,0,4,1,0,2,2,0,1,2
האיש,24,9,11,0,27,6,4,7,21
נביא,0,1,0,0,1,0,0,0,4
ויתפלל,0,4,0,0,2,0,0,2,0
בעדך,0,1,1,0,1,0,1,0,0
וחיה,0,2,0,0,1,1,0,0,0
אינך,1,2,0,0,2,1,0,0,0
משיב,0,1,0,0,1,0,0,0,0
דע,0,1,0,0,1,0,0,0,0
עבדיו,3,14,2,0,11,8,0,0,4
באזניהם,0,3,0,0,2,1,0,0,2
וייראו,1,4,0,0,3,3,0,0,1
לאברהם,3,8,6,2,15,3,0,1,7
ומה,4,2,0,0,2,0,0,4,0
חטאתי,0,6,0,0,2,3,0,1,0
הבאת,1,4,0,0,4,1,0,0,0
עלי,10,9,4,2,14,1,0,10,3
ממלכתי,0,1,0,0,1,0,0,0,0
חטאה,0,4,0,0,1,3,0,0,0
מעשים,0,1,0,0,1,0,0,0,0
יעשו,0,1,9,0,1,5,0,4,0
ראית,0,1,0,0,1,0,0,0,1
יראת,0,1,0,0,1,0,0,0,0
במקום,3,2,20,0,6,0,17,2,11
והרגוני,0,1,0,0,1,0,0,0,0
אשתי,3,2,0,0,4,1,0,0,0
אמנה,0,1,0,0,1,0,0,0,0
אמי,0,1,0,0,1,0,0,0,0
התעו,0,1,0,0,1,0,0,0,0
ואמר,6,6,5,0,9,4,2,2,22
תעשי,0,1,0,0,1,0,0,0,0
נבוא,1,1,0,0,2,0,0,0,0
ארצי,2,1,0,0,2,0,0,1,0
בטוב,0,1,1,0,1,0,1,0,1
אלף,0,2,74,0,1,2,0,74,2
לאחיך,2,1,0,0,3,0,0,0,3
כסות,0,1,0,0,1,0,0,0,0
עינים,2,3,1,0,3,0,1,2,1
ונכחת,0,1,0,0,1,0,0,0,0
וירפא,0,1,0,0,1,0,0,0,0
ואמהתיו,0,1,0,0,1,0,0,0,0
עצר,0,2,0,0,2,0,0,0,0
בעד,1,3,0,0,2,1,0,1,1
רחם,0,5,3,0,1,4,0,3,0
פקד,1,6,11,0,3,6,0,10,1
לזקניו,1,0,0,0,2,0,0,0,0
הנולד,0,0,1,0,1,0,0,0,0
בהולד,0,0,1,0,1,0,0,0,0
צחק,0,1,0,0,1,0,0,0,0
השמע,0,1,0,0,1,0,0,0,1
מלל,1,0,0,0,1,0,0,0,0
היניקה,1,0,0,0,1,0,0,0,0
ילדתי,2,1,0,0,3,0,0,0,0
ויגדל,4,2,0,0,4,2,0,0,0
הילד,7,5,0,0,5,7,0,0,0
ויגמל,0,1,1,0,1,0,0,1,0
הגמל,1,2,1,0,3,0,1,0,1
מצחק,1,1,0,0,2,0,0,0,0
גרש,0,3,1,0,1,2,1,0,1
האמה,0,3,2,0,3,2,0,0,0
יירש,0,1,0,0,1,0,0,0,1
וירע,1,2,0,0,3,0,0,0,0
אודת,0,2,0,0,1,1,0,0,0
ירע,0,1,0,0,1,0,0,0,1
אמתך,0,2,0,0,1,1,0,0,0
בקלה,0,1,0,0,1,0,0,0,0
ביצחק,0,1,0,0,1,0,0,0,0
אשימנו,0,2,0,0,2,0,0,0,0
וחמת,0,1,0,0,1,0,0,0,0
שכמה,2,2,0,0,4,0,0,0,0
וישלחה,0,1,0,0,1,0,0,0,0
ותתע,0,1,0,0,1,0,0,0,0
החמת,0,2,0,0,2,0,0,0,0
ותשלך,0,1,0,0,1,0,0,0,0
השיחם,0,1,0,0,1,0,0,0,0
מנגד,0,2,1,0,2,0,0,1,2
הרחק,0,3,0,0,1,2,0,0,0
כמטחוי,0,1,0,0,1,0,0,0,0
קשת,0,2,0,0,2,0,0,0,0
אראה,1,3,1,0,3,0,1,1,2
במות,1,2,0,2,1,0,0,4,0
ותשא,2,1,0,0,3,0,0,1,0
קלה,0,1,0,0,1,0,0,0,0
ותבך,0,1,0,0,1,0,0,0,0
תיראי,0,2,0,0,2,0,0,0,0
באשר,2,1,0,0,3,0,0,0,0
קומי,0,1,0,0,1,0,0,0,0
שאי,0,1,0,0,1,0,0,0,0
והחזיקי,0,1,0,0,1,0,0,0,0
ידך,3,9,2,1,5,12,0,1,19
ויפקח,0,1,0,0,1,0,0,0,0
עיניה,2,1,0,0,3,0,0,0,0
ותשק,0,1,0,0,1,0,0,0,0
מארץ,6,11,19,8,8,21,9,7,13
בעת,2,3,0,0,4,0,0,1,15
ופיכל,1,2,0,0,3,0,0,0,0
שר,6,17,1,0,22,1,1,0,2
צבאו,1,2,5,0,3,1,0,4,0
עמך,10,26,11,0,15,17,10,4,19
השבעה,3,1,0,0,4,0,0,0,1
באלהים,0,2,0,0,1,0,0,1,0
תשקר,0,1,0,0,1,0,0,0,0
ולניני,0,1,0,0,1,0,0,0,0
ולנכדי,0,1,0,0,1,0,0,0,0
כחסד,0,1,0,0,1,0,0,0,0
ועם,0,3,0,0,2,1,0,0,0
גרתה,0,1,0,0,1,0,0,0,0
אשבע,0,1,0,0,1,0,0,0,0
והוכח,0,1,0,0,1,0,0,0,0
אדות,2,2,0,0,2,0,0,2,0
גזלו,0,1,0,0,1,0,0,0,0
עבדי,7,5,2,0,8,2,2,2,0
לאבימלך,0,1,0,0,1,0,0,0,0
ויכרתו,1,2,0,0,2,0,0,1,0
ויצב,0,3,1,0,4,0,0,0,0
כבשת,0,3,0,0,3,0,0,0,0
הצאן,18,11,12,1,25,3,7,7,0
לבדהן,0,1,0,0,1,0,0,0,0
הצבת,0,1,0,0,1,0,0,0,0
לבדנה,0,1,0,0,1,0,0,0,0
מידי,2,3,0,0,5,0,0,0,1
לעדה,0,1,2,0,1,0,0,2,0
חפרתי,0,1,0,0,1,0,0,0,0
הבאר,10,1,0,1,10,1,0,1,0
נשבעו,0,1,0,0,1,0,0,0,0
בבאר,0,3,0,0,3,0,0,0,0
אשל,0,1,0,0,1,0,0,0,0
רבים,2,6,2,1,2,3,1,5,9
והאלהים,0,3,0,0,1,2,0,0,0
נסה,0,1,0,0,1,0,0,0,0
בנך,4,8,2,2,10,4,2,0,4
יחידך,0,1,0,2,3,0,0,0,0
אהבת,1,1,0,0,2,0,0,0,0
המריה,0,1,0,0,1,0,0,0,0
והעלהו,0,1,0,0,1,0,0,0,0
לעלה,0,3,26,2,4,0,11,16,0
ויחבש,0,2,1,0,1,0,1,1,0
חמרו,1,2,0,0,2,1,0,0,0
נעריו,0,4,0,0,3,0,0,1,0
ויבקע,0,1,0,0,1,0,0,0,0
מרחק,1,4,0,0,2,4,0,0,0
שבו,4,3,3,0,5,4,0,1,0
החמור,0,1,0,0,1,0,0,0,0
והנער,4,1,0,0,5,0,0,0,0
