verse_id,syntax_signature,source
Tanakh.Torah.Genesis.1.23,0:root->-1|1:punct->2|2:nsubj->0|3:conj->2|4:punct->3|5:nsubj->0|6:nmod:tmod->5|7:compound:smixut->6|8:punct->0,P
Tanakh.Torah.Genesis.1.24,0:conj->2|1:nsubj->0|2:root->-1|3:nsubj->2|4:obj->0|5:amod->4|6:obl->0|7:compound:smixut->6|8:conj->7|9:conj->7|10:punct->9|11:compound:smixut->9|12:obl->0|13:conj->2|14:punct->15|15:nsubj->13|16:punct->15,P
Tanakh.Torah.Genesis.1.25,0:root->-1|1:nsubj->0|2:case:acc->4|3:punct->4|4:obj->0|5:compound:smixut->4|6:nmod->4|7:case:acc->9|8:punct->14|9:conj->4|10:nmod->9|11:case:acc->14|12:det->14|13:punct->14|14:obj->0|15:compound:smixut->14|16:nmod->14|17:conj->0|18:nsubj->17|19:mark->21|20:punct->19|21:parataxis->0|22:punct->21,P
Tanakh.Torah.Genesis.1.26,0:conj->2|1:nsubj->0|2:root->-1|3:nsubj->2|4:obl->2|5:obl->2|6:conj->2|7:obl->6|8:compound:smixut->7|9:conj->7|10:compound:smixut->9|11:conj->10|12:det->14|13:punct->14|14:obl->6|15:det->14|16:punct->17|17:conj->14|18:acl:relcl->17|19:case->21|20:punct->21|21:obl->18|22:punct->2,P
Tanakh.Torah.Genesis.1.27,0:root->-1|1:nsubj->0|2:punct->0|3:case:acc->5|4:punct->5|5:obj->0|6:obl->9|7:obl->9|8:compound:smixut->7|9:acl:relcl->7|10:obj->9|11:obj->9|12:conj->11|13:conj->0|14:obj->13|15:punct->0,P
Tanakh.Torah.Genesis.1.28,0:root->-1|1:obl->3|2:nsubj->3|3:conj->0|4:obl->3|5:nsubj->3|6:obj->3|7:conj->6|8:conj->3|9:case:acc->11|10:punct->11|11:obj->8|12:conj->11|13:conj->8|14:obl->13|15:compound:smixut->14|16:conj->14|17:compound:smixut->16|18:det->20|19:punct->20|20:conj->8|21:acl:relcl->20|22:case->24|23:punct->24|24:obl->21|25:punct->0,P
Tanakh.Torah.Genesis.1.29,0:conj->3|1:nsubj->0|2:advmod->0|3:root->-1|4:obl->3|5:case:acc->9|6:punct->7|7:det->9|8:punct->7|9:obj->3|10:punct->11|11:obj->0|12:compound:smixut->11|13:case->16|14:case->16|15:punct->14|16:compound:smixut->11|17:det->19|18:punct->17|19:compound:smixut->11|20:case:acc->24|21:punct->22|22:det->24|23:punct->22|24:compound:smixut->11|25:acl:relcl->24|26:punct->27|27:fixed->25|28:obj->0|29:punct->30|30:compound:smixut->28|31:compound:smixut->30|32:compound:smixut->31|33:obl->35|34:cop->28|35:ccomp->0|36:punct->3,P
Tanakh.Torah.Genesis.1.30,0:det->6|1:punct->2|2:root->-1|3:compound:smixut->2|4:det->6|5:punct->6|6:conj->2|7:compound:smixut->6|8:det->6|9:punct->6|10:amod->6|11:case->13|12:punct->13|13:nmod->6|14:case->13|15:punct->16|16:nmod->17|17:nsubj->16|18:amod->17|19:case:acc->23|20:punct->21|21:det->23|22:punct->21|23:compound:smixut->17|24:nsubj->23|25:acl->17|26:conj->23|27:punct->28|28:nsubj->26|29:punct->28,P
Tanakh.Torah.Genesis.1.31,0:root->-1|1:nsubj->0|2:case:acc->4|3:punct->4|4:obj->7|5:punct->4|6:mark->7|7:acl:relcl->4|8:conj->7|9:punct->10|10:obj->7|11:advmod->10|12:conj->7|13:punct->14|14:nsubj->12|15:conj->14|16:punct->14|17:nsubj->12|18:compound:smixut->17|19:amod->18|20:punct->15,P
Tanakh.Torah.Genesis.2.1,0:root->-1|1:nsubj->0|2:conj->1|3:conj->1|4:punct->3|5:conj->1|6:punct->0,P
Tanakh.Torah.Genesis.2.2,0:root->-1|1:nsubj->0|2:obl->0|3:amod->2|4:appos->2|5:mark->6|6:acl:relcl->2|7:conj->6|8:obl->6|9:amod->8|10:det->12|11:punct->12|12:nmod->8|13:mark->14|14:acl:relcl->8|15:punct->0,P
Tanakh.Torah.Genesis.2.3,0:root->-1|1:nsubj->0|2:case:acc->4|3:punct->4|4:obj->0|5:amod->4|6:conj->0|7:obj->6|8:mark->9|9:obl->6|10:obj->6|11:det->13|12:punct->13|13:compound:smixut->11|14:mark->16|15:punct->16|16:acl:relcl->13|17:nsubj->16|18:xcomp->16|19:punct->16,P
Tanakh.Torah.Genesis.2.4,0:nsubj->1|1:root->-1|2:compound:smixut->1|3:conj->2|4:nmod->1|5:obl->4|6:compound:smixut->5|7:nsubj->6|8:nsubj->6|9:obj->6|10:conj->9|11:punct->1,none
Tanakh.Torah.Genesis.2.5,0:det->5|1:nsubj->5|2:nsubj->5|3:compound:smixut->2|4:advmod->5|5:root->-1|6:obl->5|7:det->9|8:punct->7|9:nsubj->5|10:compound:smixut->9|11:advmod->12|12:conj->5|13:mark->22|14:advmod->15|15:acl:relcl->9|16:nsubj->15|17:nsubj->15|18:case->20|19:punct->20|20:obl->15|21:conj->20|22:conj->15|23:xcomp->22|24:case:acc->26|25:punct->26|26:obj->23|27:punct->5,none
Tanakh.Torah.Genesis.2.6,0:nsubj->1|1:root->-1|2:case->4|3:punct->4|4:obl->1|5:conj->1|6:case:acc->10|7:punct->8|8:det->10|9:punct->10|10:obj->5|11:punct->10|12:compound:smixut->10|13:punct->1,none
Tanakh.Torah.Genesis.2.7,0:root->-1|1:nsubj->0|2:nsubj->0|3:case:acc->5|4:punct->6|5:obj->0|6:obj->0|7:case->9|8:punct->9|9:nmod->6|10:conj->0|11:obl->10|12:obj->10|13:compound:smixut->12|14:conj->0|15:nsubj->10|16:nmod->15|17:amod->16|18:punct->14,none
Tanakh.Torah.Genesis.2.8,0:root->-1|1:nsubj->0|2:nsubj->0|3:nmod->5|4:punct->5|5:compound:smixut->3|6:nmod->3|7:conj->0|8:advmod->7|9:case:acc->11|10:punct->7|11:obj->7|12:mark->13|13:acl:relcl->11|14:punct->13,none
Tanakh.Torah.Genesis.2.9,0:root->-1|1:nsubj->0|2:nsubj->0|3:case->5|4:punct->6|5:obl->0|6:det->8|7:punct->6|8:obj->0|9:amod->8|10:nmod->8|11:conj->8|12:nmod->11|13:conj->8|14:compound:smixut->13|15:case->16|16:nmod->13|17:conj->16|18:compound:smixut->17|19:parataxis->0|20:conj->19|21:punct->0,none
Tanakh.Torah.Genesis.2.10,0:nsubj->1|1:root->-1|2:obl->1|3:xcomp->1|4:case:acc->6|5:punct->6|6:obj->3|7:advmod->8|8:conj->1|9:conj->8|10:nummod->11|11:obl->8|12:punct->1,none
Tanakh.Torah.Genesis.2.11,0:advmod->4|1:nummod->0|2:appos->1|3:cop->4|4:root->-1|5:case:acc->8|6:det->8|7:punct->6|8:obj->4|9:compound:smixut->8|10:mark->12|11:punct->12|12:dep->4|13:nsubj->12|14:punct->12,none
Tanakh.Torah.Genesis.2.12,0:root->-1|1:compound:smixut->0|2:det->0|3:acl:relcl->0|4:advmod->3|5:nsubj->3|6:conj->5|7:compound:smixut->6|8:punct->3,none
Tanakh.Torah.Genesis.2.13,0:advmod->6|1:punct->2|2:nsubj->0|3:amod->2|4:appos->2|5:cop->6|6:root->-1|7:case:acc->10|8:det->10|9:punct->10|10:obj->6|11:compound:smixut->10|12:punct->0,none
Tanakh.Torah.Genesis.2.14,0:nsubj:cop->5|1:nsubj->0|2:amod->1|3:acl:relcl->1|4:cop->5|5:root->-1|6:appos->5|7:compound:smixut->6|8:nsubj:cop->11|9:amod->8|10:cop->11|11:conj->5|12:punct->0,none
Tanakh.Torah.Genesis.2.15,0:root->-1|1:nsubj->0|2:nsubj->0|3:case:acc->5|4:punct->5|5:obj->0|6:conj->0|7:obl->6|8:punct->7|9:compound:smixut->7|10:obl->6|11:conj->10|12:punct->0,none
Tanakh.Torah.Genesis.2.16,0:root->-1|1:nsubj->0|2:nsubj->0|3:case->5|4:punct->3|5:obl->0|6:xcomp->0|7:det->8|8:obl->6|9:punct->8|10:compound:smixut->8|11:ccomp->6|12:parataxis->6|13:punct->12,none
Tanakh.Torah.Genesis.2.17,0:conj->2|1:compound:smixut->0|2:parataxis->5|3:conj->2|4:advmod->5|5:root->-1|6:obl->5|7:mark->9|8:obl->9|9:advcl->5|10:obl->9|11:nsubj->9|12:compound:smixut->11|13:punct->5,none
Tanakh.Torah.Genesis.2.18,0:root->-1|1:nsubj->0|2:nsubj->0|3:advmod->5|4:punct->3|5:xcomp->0|6:advcl->5|7:nsubj->9|8:advmod->7|9:ccomp->0|10:punct->11|11:obl->9|12:obj->9|13:obl->9|14:punct->9,none
Tanakh.Torah.Genesis.2.19,0:root->-1|1:nsubj->0|2:nsubj->0|3:case->5|4:punct->8|5:obj->0|6:det->5|7:punct->8|8:obj->0|9:compound:smixut->8|10:case:acc->13|11:det->13|12:punct->13|13:conj->8|14:compound:smixut->13|15:conj->13|16:case->18|17:punct->13|18:obl->15|19:xcomp->15|20:obj->19|21:punct->22|22:acl:relcl->20|23:punct->22|24:obl->22|25:det->27|26:mark->27|27:acl:relcl->20|28:punct->34|29:obl->27|30:nsubj->22|31:appos->34|32:amod->31|33:cop->34|34:acl:relcl->20|35:punct->34,none
Tanakh.Torah.Genesis.2.20,0:root->-1|1:nsubj->0|2:obj->0|3:det->5|4:punct->5|5:compound:smixut->3|6:conj->3|7:compound:smixut->6|8:det->9|9:conj->3|10:compound:smixut->9|11:obl->14|12:advmod->14|13:punct->14|14:conj->0|15:obj->14|16:nmod->15|17:punct->0,none
Tanakh.Torah.Genesis.2.21,0:root->-1|1:nsubj->0|2:nsubj->0|3:punct->4|4:obj->0|5:case->7|6:punct->5|7:nmod->4|8:conj->0|9:conj->0|10:obj->9|11:obl->9|12:conj->9|13:obj->12|14:compound:smixut->13|15:punct->0,none
Tanakh.Torah.Genesis.2.22,0:root->-1|1:nsubj->0|2:nsubj->0|3:punct->2|4:case:acc->6|5:punct->9|6:obj->0|7:mark->9|8:punct->9|9:obj->0|10:case->6|11:punct->12|12:nmod->9|13:nmod->9|14:conj->0|15:case->17|16:punct->17|17:obl->14|18:punct->0,none
Tanakh.Torah.Genesis.2.23,0:root->-1|1:nsubj->0|2:obj->0|3:advmod->0|4:obj->0|5:obl->0|6:conj->5|7:amod->6|8:obl->9|9:conj->0|10:nsubj->9|11:mark->13|12:obl->13|13:advcl->9|14:punct->15|15:obj->13|16:punct->0,none
Tanakh.Torah.Genesis.2.24,0:case->2|1:punct->2|2:fixed->0|3:root->-1|4:punct->5|5:obj->3|6:case:acc->8|7:punct->8|8:obj->3|9:case:acc->11|10:punct->11|11:conj->8|12:conj->3|13:obl->12|14:conj->3|15:obl->14|16:nummod->15|17:punct->3,none
Tanakh.Torah.Genesis.2.25,0:cop->2|1:nummod->3|2:root->-1|3:compound:smixut->2|4:conj->3|5:advmod->6|6:conj->2|7:punct->0,none
Tanakh.Torah.Genesis.3.1,0:nsubj->2|1:cop->2|2:root->-1|3:det->4|4:obl->2|5:compound:smixut->4|6:mark->7|7:ccomp->10|8:nsubj->7|9:nsubj->7|10:conj->7|11:case->13|12:punct->11|13:obl->10|14:advcl->17|15:dep->14|16:punct->14|17:ccomp->10|18:nsubj->17|19:advmod->20|20:ccomp->17|21:det->22|22:obl->20|23:compound:smixut->22|24:punct->2,J
Tanakh.Torah.Genesis.3.2,0:root->-1|1:nsubj->0|2:case->4|3:punct->4|4:compound:smixut->2|5:obl->0|6:compound:smixut->5|7:punct->8|8:compound:smixut->6|9:ccomp->0|10:punct->9,J
Tanakh.Torah.Genesis.3.3,0:obl->9|1:compound:smixut->0|2:mark->6|3:case->5|4:punct->5|5:obl->6|6:parataxis->0|7:nsubj->6|8:advmod->9|9:root->-1|10:obl->9|11:advmod->12|12:conj->9|13:obl->12|14:advmod->16|15:punct->16|16:parataxis->12|17:punct->9,J
Tanakh.Torah.Genesis.3.4,0:root->-1|1:nsubj->0|2:case->4|3:punct->4|4:obl->0|5:advmod->7|6:punct->7|7:ccomp->0|8:compound:smixut->7|9:punct->0,J
Tanakh.Torah.Genesis.3.5,0:mark->1|1:root->-1|2:nsubj->1|3:mark->5|4:obl->5|5:ccomp->1|6:obl->5|7:conj->1|8:nsubj->7|9:cop->10|10:conj->1|11:amod->10|12:compound:smixut->11|13:conj->12|14:punct->1,J
Tanakh.Torah.Genesis.3.6,0:root->-1|1:nsubj->0|2:mark->3|3:ccomp->0|4:nsubj->3|5:obl->3|6:mark->3|7:conj->3|8:punct->9|9:nsubj->3|10:nmod->7|11:conj->3|12:compound:smixut->11|13:xcomp->11|14:conj->13|15:obj->14|16:conj->13|17:conj->16|18:advmod->20|19:punct->16|20:obl->17|21:nmod->20|22:conj->16|23:punct->0,J
Tanakh.Torah.Genesis.3.7,0:root->-1|1:nsubj->0|2:compound:smixut->1|3:conj->2|4:mark->5|5:ccomp->3|6:nsubj->5|7:conj->5|8:obj->7|9:compound:smixut->8|10:conj->5|11:obl->10|12:obj->10|13:punct->0,J
Tanakh.Torah.Genesis.3.8,0:root->-1|1:case:acc->3|2:punct->3|3:obj->0|4:compound:smixut->3|5:compound:smixut->3|6:acl:relcl->3|7:obl->6|8:obl->6|9:compound:smixut->8|10:conj->0|11:nsubj->10|12:conj->11|13:case->17|14:obl->10|15:nmod->11|16:case->17|17:obl->10|18:compound:smixut->17|19:punct->0,J
Tanakh.Torah.Genesis.3.9,0:root->-1|1:nsubj->0|2:nsubj->0|3:case->5|4:punct->3|5:obl->0|6:conj->0|7:obl->6|8:obl->6|9:punct->8,J
Tanakh.Torah.Genesis.3.10,0:ccomp->4|1:case:acc->3|2:punct->3|3:obj->0|4:root->-1|5:obl->4|6:conj->5|7:mark->9|8:punct->7|9:obj->0|10:nsubj->9|11:conj->10|12:punct->11,J
Tanakh.Torah.Genesis.3.11,0:root->-1|1:nsubj->2|2:ccomp->0|3:obl->2|4:mark->11|5:ccomp->0|6:nsubj->2|7:appos->6|8:punct->9|9:appos->6|10:mark->11|11:acl:relcl->9|12:compound:affix->13|13:obl->11|14:punct->13|15:obl->11|16:acl:relcl->5|17:punct->16,J
Tanakh.Torah.Genesis.3.12,0:root->-1|1:nsubj->0|2:nsubj->0|3:mark->4|4:acl:relcl->2|5:obl->4|6:nsubj->7|7:ccomp->0|8:punct->7|9:obl->7|10:case->12|11:punct->12|12:obl->7|13:conj->7|14:punct->7,J
Tanakh.Torah.Genesis.3.13,0:root->-1|1:nsubj->0|2:nsubj->0|3:obl->0|4:obj->0|5:punct->6|6:obj->7|7:ccomp->0|8:conj->0|9:nsubj->8|10:nsubj->11|11:amod->10|12:conj->11|13:punct->12,J
Tanakh.Torah.Genesis.3.14,0:root->-1|1:nsubj->0|2:nsubj->0|3:punct->6|4:case->6|5:punct->6|6:obl->0|7:mark->8|8:ccomp->0|9:obj->8|10:ccomp->0|11:nsubj->10|12:det->14|13:punct->16|14:compound:smixut->12|15:det->14|16:nmod->11|17:compound:smixut->16|18:case->20|19:punct->18|20:obl->23|21:acl:relcl->11|22:conj->21|23:conj->21|24:det->26|25:punct->26|26:obj->23|27:compound:smixut->26|28:punct->0,J
Tanakh.Torah.Genesis.3.15,0:root->-1|1:punct->0|2:compound:smixut->0|3:obl->2|4:case->5|5:conj->3|6:case->5|7:conj->3|8:case->9|9:appos->7|10:nsubj->11|11:acl:relcl->0|12:obj->11|13:nsubj->14|14:conj->11|15:obj->14|16:punct->11,J
Tanakh.Torah.Genesis.3.16,0:case->2|1:punct->0|2:obl->3|3:root->-1|4:advmod->3|5:ccomp->3|6:obj->3|7:conj->6|8:obl->3|9:conj->3|10:obj->9|11:case->13|12:punct->11|13:conj->10|14:obj->13|15:nsubj->16|16:conj->3|17:punct->11|18:obl->16|19:punct->3,J
Tanakh.Torah.Genesis.3.17,0:obl->1|1:root->-1|2:mark->4|3:punct->4|4:ccomp->1|5:obl->4|6:compound:smixut->5|7:conj->4|8:case->10|9:punct->10|10:obl->7|11:mark->12|12:acl:relcl->10|13:xcomp->12|14:advmod->15|15:ccomp->13|16:obl->15|17:conj->15|18:obj->15|19:obl->15|20:obl->15|21:ccomp->13|22:det->23|23:obj->21|24:compound:smixut->23|25:punct->1,J
Tanakh.Torah.Genesis.3.18,0:nsubj->2|1:conj->0|2:root->-1|3:obl->2|4:conj->2|5:case:acc->7|6:punct->7|7:obj->4|8:compound:smixut->7|9:punct->2,J
Tanakh.Torah.Genesis.3.19,0:obl->2|1:obj->2|2:root->-1|3:obj->2|4:case->5|5:obl->2|6:case->8|7:punct->6|8:obl->5|9:mark->10|10:obl->2|11:xcomp->10|12:mark->19|13:punct->12|14:obj->11|15:obj->11|16:case->18|17:punct->16|18:conj->15|19:advcl->11|20:punct->2,J
Tanakh.Torah.Genesis.3.20,0:root->-1|1:nsubj->0|2:advmod->0|3:nsubj->0|4:appos->3|5:mark->8|6:nsubj->8|7:cop->8|8:advcl->11|9:det->11|10:punct->9|11:compound:smixut->8|12:punct->11,J
Tanakh.Torah.Genesis.3.21,0:root->-1|1:nsubj->0|2:nsubj->0|3:obl->0|4:conj->3|5:obl->0|6:compound:smixut->5|7:conj->3|8:punct->0,J
Tanakh.Torah.Genesis.3.22,0:nsubj:cop->5|1:conj->0|2:nsubj->0|3:nsubj->0|4:cop->5|5:root->-1|6:cop->5|7:det->8|8:obl->0|9:acl->5|10:obj->9|11:conj->10|12:advmod->16|13:punct->16|14:advmod->16|15:punct->14|16:conj->0|17:obj->16|18:conj->16|19:advmod->20|20:obl->18|21:compound:smixut->20|22:conj->18|23:conj->22|24:obl->18|25:punct->5,J
Tanakh.Torah.Genesis.3.23,0:root->-1|1:nsubj->0|2:nsubj->0|3:nmod->5|4:punct->3|5:compound:smixut->3|6:xcomp->0|7:case:acc->9|8:punct->9|9:obj->6|10:mark->11|11:acl:relcl->9|12:obl->11|13:punct->0,J
Tanakh.Torah.Genesis.3.24,0:root->-1|1:case:acc->3|2:punct->3|3:obj->0|4:conj->0|5:obl->4|6:nmod->8|7:punct->8|8:compound:smixut->6|9:case:acc->11|10:punct->11|11:obj->0|12:case:acc->13|13:conj->11|14:compound:smixut->13|15:acl:relcl->13|16:xcomp->15|17:case:acc->19|18:punct->19|19:obj->16|20:obl->16|21:compound:smixut->20|22:punct->0,J
Tanakh.Torah.Genesis.4.1,0:nsubj->1|1:root->-1|2:case:acc->4|3:punct->4|4:obj->1|5:appos->4|6:conj->1|7:conj->1|8:case:acc->10|9:punct->10|10:obj->12|11:conj->12|12:parataxis->1|13:obj->12|14:case:acc->13|15:punct->16|16:obl->12|17:punct->1,J
